0 0
0.01 0.062807206
0.02 0.12534453
0.03 0.18737744
0.04 0.24867144
0.05 0.30899201
0.06 0.36810462
0.07 0.42577477
0.08 0.48176794
0.09 0.5358496
0.1 0.58778525
0.1 0.58778525
0.11 0.6374738
0.12 0.68457964
0.13 0.72895784
0.14 0.77046347
0.15 0.80895158
0.16 0.84427724
0.17 0.8762955
0.18 0.90486142
0.19 0.92983007
0.2 0.95105652
0.2 0.95105652
0.21 0.96864706
0.22 0.9823286
0.23 0.99210112
0.24 0.99796464
0.25 0.99991915
0.26 0.99796464
0.27 0.99210112
0.28 0.9823286
0.29 0.96864706
0.3 0.95105652
0.3 0.95105652
0.31 0.92983007
0.32 0.90486142
0.33 0.8762955
0.34 0.84427724
0.35 0.80895158
0.36 0.77046347
0.37 0.72895784
0.38 0.68457964
0.39 0.6374738
0.4 0.58778525
0.4 0.58778525
0.41 0.5358496
0.42 0.48176794
0.43 0.42577477
0.44 0.36810462
0.45 0.30899201
0.46 0.24867144
0.47 0.18737744
0.48 0.12534453
0.49 0.062807206
0.5 1.2246468e-16
0.5 1.2246468e-16
0.51 -0.062807206
0.52 -0.12534453
0.53 -0.18737744
0.54 -0.24867144
0.55 -0.30899201
0.56 -0.36810462
0.57 -0.42577477
0.58 -0.48176794
0.59 -0.5358496
0.6 -0.58778525
0.6 -0.58778525
0.61 -0.6374738
0.62 -0.68457964
0.63 -0.72895784
0.64 -0.77046347
0.65 -0.80895158
0.66 -0.84427724
0.67 -0.8762955
0.68 -0.90486142
0.69 -0.92983007
0.7 -0.95105652
0.7 -0.95105652
0.71 -0.96864706
0.72 -0.9823286
0.73 -0.99210112
0.74 -0.99796464
0.75 -0.99991915
0.76 -0.99796464
0.77 -0.99210112
0.78 -0.9823286
0.79 -0.96864706
0.8 -0.95105652
0.8 -0.95105652
0.81 -0.92983007
0.82 -0.90486142
0.83 -0.8762955
0.84 -0.84427724
0.85 -0.80895158
0.86 -0.77046347
0.87 -0.72895784
0.88 -0.68457964
0.89 -0.6374738
0.9 -0.58778525
0.9 -0.58778525
0.91 -0.5358496
0.92 -0.48176794
0.93 -0.42577477
0.94 -0.36810462
0.95 -0.30899201
0.96 -0.24867144
0.97 -0.18737744
0.98 -0.12534453
0.99 -0.062807206
1 -2.4492936e-16
